# Deterministic FIPS 202 regression vectors generated by Python hashlib
# name|mode|message_hex (- means empty)|output_bytes|expected_hex (- means empty)
shake256_rate_plus_1|1|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b|149|afd9177d8c6dda1cebc6411cf5a693c9481401bcad12dd898b3e33128bfafd5d1a7d1cd3f807152b5b18a3db2f38594b0f9b0d4b157e2aeac4d0eda287788c900334fc830f4dbad44b9cf645382f226b32d95f9f1a6b60f9efe0a94ee663d25b451151f3766e5f881c056cfb77ff2c02c2c4240dd960d9fc67040034b6e3ba691704d0c936cc8abe35d86dd282ba077c110de8345f
shake256_two_rates_plus_17|1|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b1c2d3e4f60718293a4b5c6d7e8f90a1b2c3d4e5f708192a3b4c5d6e7f8091a2b3c4d5e6f8091a2b3c4d5e6f708192a3b4c5d6e7f90a1b2c3d4e5f60718293a4b5c6d7e8fa0b1c2d3e4f5061728394a5b6c7d8e9fb0c1d2e3f405162738495a6b7c8d9eafc0d1e2f30415263748596a7b8c9daebfd0e1f2031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff0011223|277|ad8182bdaf3bb5043bace13ae12bc0bb24feb6a1128be6e6c3b8d24d5bbadfafcad331f81a13e47c027b65f84f2fb51dfc667749123161cae22f9daa81e71e9645418a3d81f10bdbbce1f3095a41974e040985f501ff1ded11c7f75ba9e1aa88db2c9cbe670b0a64aad838bf268d05c3cb657387cb82c76dffa4ac6617f91a337782b0865658b2fd7e4c53d317581547bfa32bd05c58f9d203483b38354656c233bd06558d0850a76fecba7707e02d20dd5f845571162ebbad7870860020c097d8bb971f4de44f85b4634eeaaa6c32a15157cc0fb802d55c84b06bbab4b422cba6f2e86d3f957fe5b338679aa9eef84bd1fb1068e70f4d6842a870c40296cea5db2baa23aa9f0d245bf4f722a19d787bd570d18f10
shake256_zero_output|1|616263|0|-
shake128_empty|2|-|32|7f9c2ba4e88f827d616045507605853ed73b8093f6efbc88eb1a6eacfa66ef26
shake128_abc|2|616263|64|5881092dd818bf5cf8a3ddb793fbcba74097d5c526a6d35f97b83351940f2cc844c50af32acd3f2cdd066568706f509bc1bdde58295dae3f891a9a0fca578378
shake128_rate_minus_1|2|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b1c2d3e4f60718293a4b5c6d7e8f90a1b2c3d4e5f708192a3b4c5d6e7f809|167|42a4195b7a5917e8b1d9880e0f3ef0d5b05fa22d841d914536c64447d7b559ca36326f16ba87c5d8cebd0795e56eb97ac4a0f00a5ed29aab529af34474b956e486075688d21f353ccc92ad045587699f6f0dcd5b9bcd32270831dadb9070e33c84dbbbc296c26886203beaca3d458693b0c77db5329d456b654f7d2b1d6ae80783177fec370eb4c906b4f1702f8cb8f679852c7ffd2b32c351885047e5d3cfa09c12e2eb03663f
shake128_rate_exact|2|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b1c2d3e4f60718293a4b5c6d7e8f90a1b2c3d4e5f708192a3b4c5d6e7f8091a|168|74b4318214da7065b69dc6991434169839609fce2ee30e8f66fc5a37b1be643d2728f5061342d72562403c77a508e9ff3f7430f1367b46cf3771d6e78d7416b61966d6cbac8ee08618d8068339f4bdf25cfbd6f3800e32f7b20db544bf3b46574249551dfd7ac3e4c01f572456ddfed482d07c241b0eabe5ab7470e6d74ddb5960e9d42b2e6cd14a6c79b49df7df44fffb8c9661f46d7acebc7aef09c7bc4818b51886553ddf86a5
shake128_rate_plus_1|2|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b1c2d3e4f60718293a4b5c6d7e8f90a1b2c3d4e5f708192a3b4c5d6e7f8091a2b|181|bd5c8a1ba5b0cd44fe3e0f53f4e3986f54dd84c069cfe6fc4a5f9a8470fbe63cb59c3b99de9c32d54f691e5e92baddd30b1b9edae230bcf973e20e775a389d198ed253a8ba6dbf0b3ac59c699cab021459bdece89e2b76d86b6c7e779cb92e94df4d678d32b16d8e13fc26926a108d0c4eeb26fba5ae9a6b1f85f1611ccd7e6b1d423b86d2d778de718ad33fa6feefe983a070c0efc051458f89b5b97e8b311a2dd4ab3443e73d8bd5839aaac49a4de7acae6e9530
shake128_two_rates_plus_17|2|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b1c2d3e4f60718293a4b5c6d7e8f90a1b2c3d4e5f708192a3b4c5d6e7f8091a2b3c4d5e6f8091a2b3c4d5e6f708192a3b4c5d6e7f90a1b2c3d4e5f60718293a4b5c6d7e8fa0b1c2d3e4f5061728394a5b6c7d8e9fb0c1d2e3f405162738495a6b7c8d9eafc0d1e2f30415263748596a7b8c9daebfd0e1f2031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263|341|7c3c54a8c77b4db73794cbc6bc90e11f6221963621b275c7ba326e7b4424ce2d12010f35c24a0d0668baa242b686154e5b873ed94157086bd4e4656f9dd7fb78b13233862c8874bdeea96ebdbcd4d912e3d8257102cd23f514da029f121406883642768244690a5ea26c70567adc3007d7caa970f2571d257d83f69664a4cecdc4426440028ee4c314d46fa7c06df353610ef1fedada005cbf56a41c890010e91a07c8a5b98f04f42945e490d7f9c034c13307af24f100945ca230c4c46afb4e22168aeb4f317fa870ecd735aa9441a60b8a8f6fa9e71a3a8fa67d03413a9b7cebc1f9553d43a79250c213114a203b2634ef9a2cdb5c33ebdf7951298e20a923a9e989427a5a936211954da6504adb410826b9089f221ea6ccd40573bdf03aa475422cd93b3e568ea06a8f229297211dfba20a55f968bf5fbe49ad5a03e4efc6499ddc9e5dde3b56f0309ffd35119672f49cbda966
shake128_zero_output|2|616263|0|-
sha3-256_empty|3|-|32|a7ffc6f8bf1ed76651c14756a061d662f580ff4de43b49fa82d80a4b80f8434a
sha3-256_abc|3|616263|32|3a985da74fe225b2045c172d6bd390bd855f086e3e9d525b46bfe24511431532
sha3-256_rate_minus_1|3|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9|32|91f8d744cdf6c88796d2daa6772af7c4605163441b63bcaf6601650e35663d95
sha3-256_rate_exact|3|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa|32|ed5614a93aef447656e6458f35574363e9eeb3b22f857d3bcaa20755c92faa69
sha3-256_rate_plus_1|3|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b|32|c39115d1f409286f72608c12e438c458aa6c86206e80ae02a3c9b841df3ba3f0
sha3-256_two_rates_plus_17|3|031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff00112233445566778899aabbccddeef00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f2031425364758697a8b9cadbecfd0e1f30415263748596a7b8c9daebfc0d1e2f405162738495a6b7c8d9eafb0c1d2e3f5061728394a5b6c7d8e9fa0b1c2d3e4f60718293a4b5c6d7e8f90a1b2c3d4e5f708192a3b4c5d6e7f8091a2b3c4d5e6f8091a2b3c4d5e6f708192a3b4c5d6e7f90a1b2c3d4e5f60718293a4b5c6d7e8fa0b1c2d3e4f5061728394a5b6c7d8e9fb0c1d2e3f405162738495a6b7c8d9eafc0d1e2f30415263748596a7b8c9daebfd0e1f2031425364758697a8b9cadbecfe0f102132435465768798a9bacbdcedff0011223|32|7c545cb51a842abe90b38baac95e2e25e3013d2b795e6f0a5924562b6016242b
